birch tar,9,resins_and_balsams,"[2, 3]"
biscuit,7,sweets_and_gourmand_smells,"[3]"
bitter orange,1,citrus_smells,"[0, 1]"
black currant,2,fruits_vegetables_and_nuts,"[0, 2]"
black currant blossom,3,flowers,"[0, 1, 2, 3]"
black currant leaf,5,greens_herbs_and_fougeres,"[1, 2]"
black hemlock or tsuga,8,woods_and_mosses,"[2, 3]"
black locust,4,white_flowers,"[0, 2, 3]"
black spruce,8,woods_and_mosses,"[2, 3]"
blackberry,2,fruits_vegetables_and_nuts,"[0, 2]"
blackberry blossom,3,flowers,"[0, 1, 2, 3]"
blackberry leaf,5,greens_herbs_and_fougeres,"[1, 2]"
blackthorn,2,fruits_vegetables_and_nuts,"[0, 2]"
blackwood,8,woods_and_mosses,"[2, 3]"
blood,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
blood orange,1,citrus_smells,"[0, 1]"
blue lilies,3,flowers,"[0, 1, 2, 3]"
blue margarita,11,beverages,"[0, 1, 2, 3]"
blue poppy,3,flowers,"[0, 1, 2, 3]"
blueberry,2,fruits_vegetables_and_nuts,"[0, 2]"
boisiris,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
borage,5,greens_herbs_and_fougeres,"[1, 2]"
borneol,5,greens_herbs_and_fougeres,"[1, 2]"
boronia,4,white_flowers,"[0, 2, 3]"
bougainvillea,3,flowers,"[0, 1, 2, 3]"
bourbon whiskey,11,beverages,"[0, 1, 2, 3]"
boysenberry,2,fruits_vegetables_and_nuts,"[0, 2]"
bran,5,greens_herbs_and_fougeres,"[1, 2]"
brazil nut,2,fruits_vegetables_and_nuts,"[0, 2]"
brazilian rosewood,8,woods_and_mosses,"[2, 3]"
bread,7,sweets_and_gourmand_smells,"[3]"
bread flower,3,flowers,"[0, 1, 2, 3]"
breu-branco,9,resins_and_balsams,"[2, 3]"
brick,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
brioche,7,sweets_and_gourmand_smells,"[3]"
bromelia,3,flowers,"[0, 1, 2, 3]"
brown scotch tape,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
brown sugar,7,sweets_and_gourmand_smells,"[3]"
bubble gum,7,sweets_and_gourmand_smells,"[3]"
buchu or agathosma,5,greens_herbs_and_fougeres,"[1, 2]"
buddha wood,8,woods_and_mosses,"[2, 3]"
buddleia,3,flowers,"[0, 1, 2, 3]"
bulrush,5,greens_herbs_and_fougeres,"[1, 2]"
burdock,5,greens_herbs_and_fougeres,"[1, 2]"
burnt match,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
bushman candle,9,resins_and_balsams,"[2, 3]"
butomus umbellatus,3,flowers,"[0, 1, 2, 3]"
butter,7,sweets_and_gourmand_smells,"[3]"
buttercup,3,flowers,"[0, 1, 2, 3]"
butterscotch,7,sweets_and_gourmand_smells,"[3]"
buxus,8,woods_and_mosses,"[2, 3]"
cabreuva,8,woods_and_mosses,"[2, 3]"
cacao pod,6,spices,"[2, 3]"
cactus,5,greens_herbs_and_fougeres,"[1, 2]"
cade oil,9,resins_and_balsams,"[2, 3]"
caipirinha,11,beverages,"[0, 1, 2, 3]"
calamansi,1,citrus_smells,"[0, 1]"
calamus,5,greens_herbs_and_fougeres,"[1, 2]"
calone,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
calycanthus,5,greens_herbs_and_fougeres,"[1, 2]"
calypsone,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
cambodian oud,8,woods_and_mosses,"[2, 3]"
camellia,3,flowers,"[0, 1, 2, 3]"
campari,11,beverages,"[0, 1, 2, 3]"
camphor,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
canadian balsam,8,woods_and_mosses,"[2, 3]"
candied fruits,7,sweets_and_gourmand_smells,"[3]"
candied ginger,7,sweets_and_gourmand_smells,"[3]"
candied orange,7,sweets_and_gourmand_smells,"[3]"
candies,7,sweets_and_gourmand_smells,"[3]"
canele,7,sweets_and_gourmand_smells,"[3]"
cannabis,5,greens_herbs_and_fougeres,"[1, 2]"
cannonball flower,3,flowers,"[0, 1, 2, 3]"
caoutchouc,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
cappuccino,11,beverages,"[0, 1, 2, 3]"
carambola (star fruit),2,fruits_vegetables_and_nuts,"[0, 2]"
carambola blossom,3,flowers,"[0, 1, 2, 3]"
caramel,7,sweets_and_gourmand_smells,"[3]"
