top,heart,base,perfume_id
"[690, 437]","[785, 473]","[624, 7]",26125233
,,,26125234
"[927, 42, 725, 690, 491, 388]","[785, 601, 102, 461]","[33, 51, 624]",26125235
"[562, 515, 780]","[491, 372]","[920, 808]",26125236
"[96, 515, 562]",,"[694, 624, 747]",26125237
"[530, 96, 660]","[785, 461, 473]",[920],26125238
[473],"[785, 372]","[920, 624]",26125239
,,,26125240
,,,26125242
,,,26125243
,,,26125244
,,,26125245
,,,26125246
,,,26125247
,,,26125248
,,,26125249
,,,26125250
,,,26125251
,,,26125252
,,,26125253
,,,26125254
,,,26125255
,,,26125256
,,,26125257
,,,26125258
,,,26125259
"[660, 96]","[473, 808]","[627, 920, 26]",26125260
,,,26125261
,,,26125262
"[800, 708, 224]","[808, 692]","[920, 26]",26125263
"[854, 785]",[417],"[920, 624]",26125264
,,,26125265
"[660, 395]",,"[193, 808, 692, 920, 624]",26125266
,,,26125267
,,,26125268
"[7, 497, 388, 455]",,,26125269
"[376, 708, 513, 624, 403, 808, 924, 193]",,,26125270
"[96, 785, 473, 692, 649, 911]",,,26125271
,,,26125272
"[562, 725]","[102, 473]","[692, 624]",26125273
"[698, 694]",[358],[624],26125274
"[785, 26, 624]",,,26125275
"[101, 660, 473]",[660],"[920, 433]",26125276
[512],[920],"[624, 26]",26125277
"[193, 472]",,,26125278
[785],,,26125279
,,,26125280
,,,26125281
,,,26125282
,,,26125283
,,,26125284
,,,26125285
"[412, 245]",[268],"[624, 808, 26, 805]",26125286
"[96, 515, 562, 639]",[178],[193],26125287
"[785, 708]",[707],"[26, 193, 692]",26125288
"[96, 366, 639]","[473, 224, 259, 282, 461, 785]","[920, 692, 808, 624, 26, 513]",26125289
"[96, 785]","[927, 785, 858]","[692, 624, 26, 785]",26125290
"[96, 388, 376, 178]","[473, 785, 237, 177, 646, 282, 888]","[512, 808, 924, 193]",26125291
"[888, 660, 358, 670, 51]",,,26125292
"[920, 924, 473]",,,26125293
[660],"[555, 473, 180]","[627, 920]",26125294
[542],"[924, 193, 808]","[26, 920]",26125295
[96],"[966, 927, 473, 863]","[624, 26, 863]",26125296
"[661, 178, 376, 660]","[224, 913, 808, 237, 193]","[26, 513, 624, 903]",26125297
,,,26125298
,,,26125299
,,,26125300
,,,26125301
"[53, 96, 562, 928]","[376, 646]","[193, 808]",26125302
"[660, 530, 562, 354, 193]",,,26125303
"[698, 883, 388, 102]","[358, 529, 770]","[748, 26, 624]",26125304
,,,26125305
,,,26125306
,,,26125307
,,,26125308
"[178, 707]","[461, 472]","[684, 293, 461, 513, 924]",26125309
"[376, 924, 908]",,,26125310
"[530, 388, 854, 82]","[512, 372, 26]","[193, 692, 649]",26125311
"[96, 660, 515, 529, 259, 920, 560, 624]",,,26125312
"[96, 670, 473, 785, 358, 624, 920]",,,26125313
"[723, 920, 690, 224, 356, 920, 245, 624]",,,26125314
"[343, 388, 661, 785, 193, 808, 624, 920, 472]",,,26125315
,,,26125316
[579],[367],"[26, 692, 472]",26125317
,,,26125318
,,,26125319
,,,26125320
,,,26125321
,,,26125322
[515],[376],"[920, 692, 646]",26125323
"[562, 530]","[649, 920, 785]",[473],26125324
,,,26125325
"[793, 96, 854]","[512, 372, 237]","[924, 692, 403, 908]",26125326
"[102, 661]",[725],"[920, 808, 624]",26125327
"[358, 388, 45]","[785, 927]","[26, 624, 193]",26125328
,,,26125329
,,,26125330
,,,26125331
,,,26125332
,,,26125333
,,,26125334
,,,26125335
,,,26125336
"[227, 491, 593]",[527],"[765, 433, 599, 914, 480]",26125337
"[96, 698, 178]",[353],"[624, 26, 920, 808]",26125338
,"[765, 45, 785]","[26, 920, 624]",26125339
"[45, 102, 562]","[555, 707]","[808, 461]",26125340
"[388, 512, 45, 694]","[785, 562, 358, 529, 707]","[461, 455, 920, 7]",26125341
"[356, 898, 473, 966, 652, 920, 808, 26]",,,26125342
,,,26125343
"[785, 661]","[785, 785]",[808],26125344
"[388, 376]","[785, 780]",[193],26125345
"[96, 785]","[473, 707, 924]","[808, 624, 26]",26125346
"[96, 562, 98, 259]","[481, 708, 193, 808, 924]","[692, 920, 624]",26125347
"[388, 102]",[529],"[193, 624]",26125348
"[96, 883, 388]","[237, 480, 353, 376, 44]","[808, 924]",26125349
,[920],"[808, 624]",26125350
"[698, 800, 237]",[708],"[924, 193, 624]",26125351
"[96, 725, 376]","[708, 765, 913]","[924, 193, 624]",26125352
"[101, 224]",[920],"[838, 624]",26125353
,,,26125354
"[562, 698, 927]","[108, 953]","[26, 624, 920]",26125355
"[562, 96, 515, 660, 388]","[343, 725, 473]","[624, 193]",26125356
"[96, 282, 725]","[732, 785]","[300, 176, 692, 920]",26125357
,,,26125358
"[723, 96, 512]","[646, 793]",[26],26125359
,,,26125360
,,,26125361
"[227, 96, 771, 660, 530, 512, 565, 732]","[692, 785, 26, 473, 966, 529, 461]","[26, 7, 808, 193, 624, 692, 920, 649]",26125362
,,,26125363
"[96, 473, 461, 785, 966, 193, 624]",,,26125364
"[800, 26, 785, 624]",,,26125365
"[785, 26, 800]",,,26125366
"[227, 473, 785, 193, 692, 624]",,,26125367
"[785, 26, 808, 624]",,,26125368
,,,26125369
,,,26125370
,,,26125371
,,,26125372
,,,26125373
"[250, 796, 808, 649, 692, 461]",,,26125374
,,,26125375
,,,26125376
,,,26125377
,,,26125378
[42],"[708, 237, 646, 376, 692]",,26125379
"[562, 96, 259]","[785, 519, 896, 938]","[646, 924, 649]",26125380
,,,26125381
,,,26125382
,,,26125383
,,,26125384
[601],,,26125385
[883],,,26125386
"[530, 376, 515, 562]","[604, 574, 178]","[193, 924]",26125387
"[765, 388, 224]","[372, 913, 473, 444, 639, 966]","[624, 808, 920, 649, 924]",26125388
,,,26125390
,,,26125391
,,,26125392
,,,26125393
[928],"[785, 707, 367, 473, 913]","[26, 624, 808]",26125394
"[207, 725, 395]","[461, 785, 661]","[808, 920, 624]",26125395
"[473, 45]","[664, 661]","[245, 624, 920]",26125396
"[526, 639, 661]","[473, 785, 646, 358]","[26, 624, 920]",26125397
"[358, 562]","[947, 966]","[920, 193, 785]",26125398
[96],"[473, 630, 12]","[920, 808]",26125399
,,,26125400
,,,26125401
,,,26125402
,,,26125403
,,,26125404
,,,26125405
"[723, 694, 96]","[473, 938]","[624, 193]",26125406
"[562, 694, 96]",[473],"[920, 26, 624, 924, 732]",26125407
"[497, 739]",[707],[27],26125408
,,,26125409
[388],[193],"[28, 649]",26125410
"[388, 725]",[670],"[920, 808]",26125411
"[96, 388]","[376, 497]","[627, 808]",26125412
,,,26125413
"[562, 356, 193]",,,26125414
"[388, 619, 785, 765, 698, 178]","[785, 367, 913, 473, 670]","[193, 692]",26125415
,"[692, 473]","[900, 864]",26125416
"[660, 96]","[555, 473]","[692, 808]",26125417
"[388, 45, 358, 785, 473, 920]",,,26125418
,,,26125419
,,,26125420
,,,26125421
,,,26125422
,,,26125423
,,,26125424
,,,26125425
,,,26125426
,,,26125427
,,,26125428
,,,26125429
,,,26125430
,,,26125431
,,,26125432
,,,26125433
,,,26125434
,,,26125435
,,,26125436
"[376, 512, 562, 60, 96, 178]","[708, 646, 224]","[403, 692, 26, 193]",26125437
,,,26125438
"[670, 473, 966, 785, 692, 601, 920]",,,26125439
,,,26125440
"[96, 562, 395]","[708, 353]","[920, 403, 808, 624, 26]",26125441
"[96, 562]","[661, 433, 908]",[624],26125442
"[690, 660]","[473, 898, 966, 437]","[928, 924, 903]",26125443
,,,26125444
"[555, 927, 660]","[785, 421]","[692, 808, 920]",26125445
,,,26125446
"[660, 473, 785, 193]",,,26125447
[102],"[161, 529, 695]","[624, 808, 920]",26125448
"[358, 178]",[694],"[692, 920]",26125449
,,,26125450
[388],"[473, 555, 661]","[26, 187, 624, 692, 808, 920]",26125451
,,,26125452
,,,26125453
,,,26125454
,,,26125455
,,,26125456
"[96, 785, 290, 473, 545, 555]",,,26125457
"[96, 530, 562]","[630, 259, 473, 529]","[26, 692, 193, 624]",26125458
"[707, 102]","[785, 526, 555]","[694, 808, 624]",26125459
"[515, 388, 562]","[473, 193, 529]","[26, 624, 808]",26125460
"[96, 966, 661, 358]","[473, 785]","[920, 26, 624]",26125463
"[259, 96, 785]","[927, 692]","[498, 920]",26125464
"[388, 512]","[237, 530]","[692, 624]",26125465
[800],"[193, 924]","[26, 624]",26125466
"[515, 331]","[927, 526, 372, 512]","[684, 649]",26125467
,,,26125468
[690],[707],"[732, 748, 692]",26125469
"[178, 388, 102]","[473, 395, 193]","[920, 692, 624, 908]",26125470
"[913, 908, 920, 624]",,,26125471
"[692, 193, 808]",,,26125472
"[530, 372, 692]",,,26125473
"[966, 624]",,,26125474
"[26, 193]",,,26125475
"[96, 515, 392, 793]","[785, 437, 473, 53]","[920, 908, 692, 624]",26125476
"[96, 660]","[193, 692, 924]","[908, 920, 904]",26125477
"[573, 908, 920]",,,26125478
"[227, 455, 353, 7]",,,26125479
,,,26125480
,,,26125481
,,,26125482
,,,26125483
,,,26125484
,,,26125485
,,,26125486
,,,26125487
"[433, 224, 646]",[785],"[26, 808, 624, 920]",26125488
"[785, 947, 376, 473, 920, 624]",,,26125489
"[529, 785]","[913, 473]","[26, 193, 808]",26125490
"[366, 290, 785, 725]",,,26125491
,,,26125492
,,,26125493
"[96, 562, 723, 45, 259, 646, 178]","[473, 661, 927]","[513, 193, 808, 908, 26]",26125494
"[96, 515, 512]","[193, 808]","[649, 624, 573]",26125495
"[512, 96]","[372, 473]","[808, 624, 920]",26125496
"[60, 96, 793, 604]","[661, 512]","[193, 624, 808, 920]",26125497
"[593, 102, 444]","[785, 358]","[461, 26, 193]",26125498
"[529, 785]","[473, 526]","[966, 624]",26125499
"[660, 96]","[473, 785, 913]","[924, 920, 624]",26125500
"[694, 765]","[473, 927, 966]","[808, 908, 920]",26125501
"[660, 96]","[473, 785, 966]","[924, 193, 808]",26125502
[927],"[473, 660, 180]","[526, 649]",26125503
[96],"[473, 785, 529, 692]","[26, 624, 920]",26125504
"[102, 785]","[785, 461, 529]","[108, 624, 808]",26125505
"[96, 515]","[785, 765, 732]","[461, 920]",26125506
"[96, 883]","[473, 529, 785, 398]","[624, 694, 732, 808]",26125507
"[785, 661, 601]","[913, 966]","[26, 920, 624]",26125508
"[176, 966]","[765, 473]","[26, 920]",26125509
"[529, 883]","[108, 102, 785]","[193, 808, 920]",26125510
"[966, 473]","[529, 461, 773]",[920],26125511
"[660, 515]","[785, 224, 646]","[692, 920, 624]",26125512
"[96, 515, 661]","[529, 473]","[649, 920]",26125513
"[444, 102]","[966, 785, 473]","[26, 920, 649]",26125514
"[515, 883, 45, 444]","[785, 473]","[624, 26, 193]",26125515
"[515, 96]","[785, 193]",[808],26125516
,,,26125517
,,,26125518
,,,26125519
,,,26125520
,,,26125521
,,,26125522
,,,26125523
,,,26125524
,,,26125525
,,,26125526
,,,26125527
,,,26125528
,,,26125529
,,,26125530
,,,26125531
,,,26125532
,,,26125533
,,,26125534
,,,26125535
"[515, 785, 193, 886, 802, 624, 26]",,,26125536
"[26, 498, 624]",,,26125537
"[660, 515, 388, 473, 604]",,,26125538
,,,26125539
"[694, 51]","[785, 966]","[473, 692]",26125540
"[358, 367, 785, 661, 7, 808, 913]",,,26125541
,"[259, 178]","[924, 652, 913]",26125542
,,,26125543
,,,26125544
,,,26125545
"[463, 725, 472]",,,26125546
[463],,,26125547
,,,26125548
,,,26125549
,,,26125550
"[96, 780]","[515, 102, 473]",[624],26125551
"[604, 96]","[398, 358]",[193],26125552
[780],"[344, 593]","[193, 624]",26125553
"[785, 966, 630]",,,26125554
[957],,,26125555
,,,26125556
"[920, 692]",,,26125557
"[692, 472]",,,26125558
,,,26125559
"[785, 96]","[785, 473, 927]","[403, 920, 624]",26125560
"[96, 883]",[604],[624],26125561
"[515, 660, 331]","[966, 473, 927]","[193, 920, 624]",26125562
,,,26125563
"[227, 785, 74, 178]",,,26125564
"[227, 785, 785, 707, 102]",,,26125565
"[96, 388]",[529],[193],26125566
,,,26125567
,,,26125568
,,,26125569
,,,26125570
,,,26125571
"[259, 282, 715]","[785, 473]","[193, 924, 28]",26125572
"[562, 512]","[785, 473]",[193],26125573
,,,26125574
,,,26125575
"[96, 765, 771, 515]","[661, 785, 927]","[778, 461, 624, 808, 908]",26125576
,,,26125577
,,,26125578
,,,26125579
,,,26125580
[398],"[707, 872, 358]","[193, 624, 924]",26125581
"[96, 530]","[259, 927, 939, 398]","[178, 924, 624, 808]",26125582
,,,26125583
,,,26125584
,,,26125585
,,,26125586
,[920],[624],26125587
[176],[920],[624],26125588
,,,26125589
[562],"[216, 433]","[920, 176]",26125590
,,,26125591
,,,26125592
,,,26125593
,"[216, 433]","[920, 176]",26125594
"[530, 920]",,,26125595
,,,26125596
,,,26125597
,,,26125598
,,,26125599
,,,26125600
,,,26125601
,,,26125602
,,,26125603
,,,26125604
,,,26125605
,,,26125606
,,,26125607
,,,26125608
,,,26125609
,,,26125610
,,,26125611
,,,26125612
,,,26125613
,,,26125614
,,,26125615
,,,26125616
,,,26125617
,,,26125618
,,,26125619
"[785, 725, 395]",,,26125620
,,,26125621
,,,26125622
,,,26125623
"[353, 323, 624, 920]",,,26125624
"[670, 785, 473, 785]","[630, 913, 966, 661, 498]","[26, 624, 39, 808, 692, 513]",26125625
"[178, 939]",,,26125626
[96],"[725, 224, 282, 358, 785, 461]","[808, 692, 920, 649, 624]",26125627
"[114, 694, 388]","[646, 177, 178]","[624, 924]",26125628
,,,26125629
,,,26125630
,,,26125631
"[96, 660]","[692, 785]","[216, 924, 920]",26125632
"[562, 624, 785]",,,26125633
"[96, 562, 82, 725, 473, 552, 282, 33, 193, 808, 920, 624]",,,26125634
[96],"[785, 707, 358, 927]","[808, 624, 924]",26125635
"[367, 785, 26, 808]",,,26125636
,,,26125637
"[96, 388]","[229, 372, 646, 480]","[193, 808, 924, 26]",26125638
"[96, 883, 780, 593, 395]","[646, 224, 178, 473]","[669, 808, 649, 924, 26, 624]",26125639
"[96, 723, 593, 224, 178, 395]","[512, 927, 473, 661, 529]","[669, 924, 808, 785, 649, 282, 26, 920, 624]",26125640
,,,26125641
,,,26125642
,,,26125643
"[353, 455, 26, 924, 649]",,,26125644
"[12, 366]","[367, 229, 473, 966, 224]","[808, 924, 863, 649, 498]",26125645
"[639, 96, 562, 694]","[461, 180, 473, 966, 785, 527]","[924, 808, 193, 26, 920]",26125646
"[12, 358, 444, 529]",,,26125647
,,,26125648
,,,26125649
,,,26125650
,,,26125651
,,,26125652
,,,26125653
,,,26125654
,,,26125655
,,,26125656
,,,26125657
,,,26125658
,,,26125659
,,,26125660
,,,26125661
,,,26125662
,,,26125663
,,,26125664
,,,26125665
,,,26125666
,,,26125667
,,,26125668
,,,26125669
"[708, 101]",,,26125670
"[565, 708]",,"[178, 481]",26125671
"[515, 45, 694]","[193, 473, 224, 707]","[472, 624, 26, 920]",26125672
"[971, 45, 938, 785, 692, 808, 433, 515]",,,26125673
,,,26125674
"[555, 708, 45, 96, 461, 259]","[51, 358, 692, 193, 224]","[26, 808, 920, 403, 624]",26125675
"[388, 96]","[473, 785]",[193],26125676
"[96, 530, 639, 574, 376, 224]","[473, 966, 555, 785, 367, 421]","[498, 808, 920, 652, 692, 624]",26125677
[392],"[529, 353]","[26, 624]",26125678
"[953, 292]",,"[26, 649, 624]",26125679
"[96, 562, 660, 694, 53]","[512, 473, 529]","[624, 808]",26125680
[354],"[529, 367, 245]","[624, 421, 920]",26125681
,,,26125682
"[562, 715, 96, 741]","[529, 707, 473, 785]","[920, 624, 7]",26125683
"[725, 739, 562]","[473, 707, 913]","[920, 808, 461]",26125684
"[630, 529]","[785, 473]","[778, 808, 920]",26125685
"[928, 96, 515]","[290, 444]","[193, 461, 692]",26125686
[178],"[512, 927]","[193, 624]",26125687
,,,26125688
"[208, 356, 421, 472, 920, 624]",,,26125689
"[562, 102, 927]","[473, 785, 913]","[461, 692, 920]",26125690
"[515, 437, 529]","[367, 473, 966]","[920, 193, 808]",26125691
[395],,"[725, 455]",26125692
"[660, 367, 473, 913]",,,26125693
"[96, 512, 225, 708]",,"[403, 649, 659, 900]",26125694
,,[148],26125695
,[927],,26125696
,"[527, 966]","[908, 920, 785]",26125697
[118],"[927, 920]",[26],26125698
,[920],[193],26125699
"[515, 388, 178, 708]","[692, 193, 26]","[472, 224]",26125700
"[96, 562, 660, 375]",,,26125701
,,,26125702
,,,26125703
"[473, 785, 661]",,,26125704
"[785, 473]","[193, 920, 808]",[624],26125705
[515],"[473, 421]",[376],26125706
"[178, 672]","[639, 624]","[913, 692]",26125707
"[96, 562, 661]","[913, 529, 473, 785, 180, 259, 282, 669, 193, 808]","[924, 692, 649, 26, 624]",26125708
"[191, 624]",,,26125709
"[624, 228, 900, 652, 513, 28, 808, 903, 366, 96]",,,26125710
"[96, 388, 624, 920]",,,26125711
"[376, 229]",,,26125712
"[250, 900, 193]",,,26125713
"[96, 888, 26]",,,26125714
,,,26125715
"[545, 785, 624]",,,26125716
,,,26125717
,,,26125718
,,,26125719
,,,26125720
,,,26125721
,,,26125722
,,,26125723
[106],[928],"[26, 778]",26125724
"[473, 367, 102, 515, 96, 562]","[664, 846, 362, 545]","[924, 692, 808, 472, 26, 216]",26125725
,"[785, 245, 920, 624, 808, 193, 472, 692, 660]",,26125726
"[176, 647, 472, 660, 920, 26, 808, 908, 692, 193]",,,26125727
,"[473, 661]","[920, 26]",26125728
"[96, 883]",[805],"[924, 193]",26125730
"[527, 800, 692, 624]",,,26125731
"[395, 562]","[473, 664, 785]","[26, 624, 924]",26125732
,"[785, 670]","[7, 624]",26125733
[455],[244],,26125734
,,[193],26125735
,,,26125736
,,,26125737
,,,26125738
"[82, 512, 920]",,,26125739
"[227, 7]",,,26125740
"[96, 376, 562]",[646],[924],26125741
"[562, 739]","[426, 224]",[624],26125742
[593],"[358, 780, 515]","[624, 694, 472]",26125743
,,,26125744
,,,26125745
"[7, 780, 227]",,,26125746
,,,26125747
,,,26125748
,,,26125749
"[530, 96]","[473, 515]","[414, 649, 692]",26125750
"[515, 331]",[542],"[920, 652]",26125751
"[356, 601]","[473, 367, 473]","[26, 808]",26125752
"[966, 388, 785]","[913, 473, 367]","[808, 908, 245]",26125753
[966],"[927, 785]","[908, 461, 920]",26125754
[259],"[473, 444, 356]","[193, 33, 920]",26125755
[800],"[785, 444]","[652, 498]",26125756
"[708, 193, 562]","[913, 661, 473]","[649, 472]",26125757
"[388, 150, 785]","[785, 785, 785]","[32, 808, 920]",26125758
"[660, 512, 639]","[202, 473, 224]","[26, 692, 808]",26125759
"[785, 96, 388]","[473, 966, 367]","[26, 808, 652]",26125760
"[639, 101, 971]","[660, 913, 473]","[660, 26]",26125761
"[601, 356, 114]","[473, 661, 785]","[216, 513, 198]",26125762
"[366, 708]","[785, 473]","[924, 7, 649]",26125763
"[101, 646, 785]","[785, 367]","[472, 26, 808]",26125764
"[193, 96]","[785, 473, 669]","[920, 900]",26125765
"[224, 259]","[785, 473]","[193, 659, 237]",26125766
"[96, 785, 555]","[785, 785, 669]","[26, 920]",26125767
"[366, 802, 639]","[473, 785, 229]","[692, 649, 498]",26125768
"[114, 96]","[785, 473, 180, 515]","[26, 920, 808]",26125769
"[966, 785, 282]","[669, 785, 473]","[692, 808]",26125770
"[388, 512]","[574, 201]","[920, 652]",26125771
[708],"[785, 545, 913]","[819, 193, 808]",26125772
[388],"[473, 670, 398]","[7, 32, 908]",26125773
"[388, 562]","[473, 639, 542]","[347, 920, 398]",26125774
"[114, 660, 224]","[785, 473]","[433, 237, 904]",26125775
"[51, 785]","[785, 473, 15]","[7, 924, 649]",26125776
"[481, 530, 412]",,[32],26125777
"[193, 480, 883]","[519, 822, 785]","[7, 692, 924]",26125778
[259],"[515, 785]",[808],26125779
"[96, 481, 660]","[785, 542]","[498, 649, 692]",26125780
"[481, 347, 193]","[661, 785]","[652, 627]",26125781
"[481, 660, 512]",[180],"[649, 414, 924]",26125782
"[107, 366, 480]","[928, 785, 444]","[649, 414]",26125783
"[886, 639]","[669, 180]","[26, 472, 193]",26125784
"[512, 515]",[669],"[920, 808]",26125785
[51],"[555, 785]",[920],26125786
"[530, 481]",[202],"[900, 920]",26125787
"[708, 515, 96]","[661, 639, 15]","[924, 908, 900]",26125788
"[512, 515, 785]",[639],"[7, 808, 652]",26125789
[785],[444],[808],26125790
"[114, 530]","[785, 237]",[624],26125791
,"[473, 545]","[26, 819]",26125792
[639],"[555, 785]","[627, 692, 924]",26125793
"[512, 515]",,[649],26125794
[639],"[785, 224]","[652, 920]",26125795
,"[913, 785]","[808, 908]",26125796
"[388, 802]","[473, 545]","[649, 802]",26125797
"[854, 480, 552]","[202, 444, 180]",[347],26125798
"[708, 114]",[545],"[659, 26]",26125799
"[883, 675]","[785, 785]","[692, 920]",26125800
,,,26125801
"[388, 883]","[785, 639]","[193, 785, 639, 388, 883]",26125803
[920],"[245, 176, 639]","[898, 808]",26125804
[358],"[473, 660]",[808],26125805
,"[707, 785, 180]",[176],26125806
[854],"[421, 358, 236]","[193, 808, 624]",26125807
"[82, 178, 96]","[529, 552]","[924, 525, 624]",26125808
[555],"[785, 473, 529, 660]","[692, 624]",26125809
,,,26125810
"[707, 660, 473, 785]",,"[920, 28, 808]",26125811
"[96, 562]",[947],"[624, 920]",26125812
"[661, 562]","[966, 913, 473]","[26, 920, 808]",26125813
"[96, 660, 562]","[846, 353, 512]","[193, 924]",26125814
"[519, 96]",[473],"[692, 193]",26125815
"[562, 661, 96]",[527],"[26, 808]",26125816
[96],[545],"[26, 920]",26125817
"[96, 376]","[601, 957, 351]","[808, 920, 624]",26125818
[530],"[555, 913, 927]","[808, 920]",26125819
[896],"[433, 89, 473]","[692, 920, 649, 26, 624]",26125820
"[193, 530, 45]","[290, 555, 695]","[26, 624]",26125821
"[723, 372, 51]","[177, 282, 473, 367, 966]","[624, 808, 28, 920]",26125822
"[785, 473, 461]","[670, 224]","[193, 808, 176]",26125823
"[512, 96, 515]","[473, 785, 180, 529]","[193, 908, 624, 808]",26125824
"[290, 529, 96, 473, 966, 785, 664, 624, 421, 920]",,,26125825
,,,26125826
,"[555, 444, 446]",[624],26125831
"[376, 692, 808, 26, 624]",,,26125832
[96],,,26125833
"[785, 473, 664, 966, 670, 526, 732, 26, 692, 433, 808]",,,26125834
[96],"[216, 920, 908]","[624, 26]",26125835
"[661, 227]","[627, 433]","[624, 513, 193]",26125836
,"[692, 455]","[708, 247, 216, 900]",26125837
"[515, 562, 101, 966, 924, 178]",,,26125838
"[259, 793]","[372, 785, 473]","[624, 26]",26125839
[515],"[512, 229]",,26125840
,[353],,26125841
"[624, 7, 920]",,,26125842
,,,26125843
[245],"[16, 245]","[911, 920]",26125844
,,,26125845
"[938, 785, 300, 624, 920]",,,26125846
,,,26125847
"[660, 515, 604, 473, 529, 437, 624, 649, 26]",,,26125848
,,,26125849
,,,26125850
,,,26125851
,,,26125852
"[395, 96, 388]","[664, 785, 573]","[26, 624]",26125853
"[96, 604, 940]","[838, 573]","[26, 920]",26125854
"[940, 96, 690]","[573, 555]","[26, 245]",26125855
"[388, 723, 818]","[372, 512, 898]","[26, 245, 890]",26125856
"[604, 354]","[512, 708, 646]",[624],26125857
"[698, 491, 725]","[786, 695, 421, 664]",[808],26125858
"[96, 480, 604]","[660, 512]","[513, 864, 924, 193, 624]",26125859
"[96, 604, 515]","[694, 437]","[808, 624]",26125860
"[96, 515, 491, 562]","[512, 604, 802]","[624, 193]",26125861
"[515, 96]","[481, 512, 604]","[624, 924, 7, 864]",26125862
"[96, 388, 562, 604]","[660, 670, 707, 785]","[26, 624]",26125863
"[966, 573, 785, 193, 624]",,,26125864
,,"[959, 692, 624]",26125865
[227],[639],,26125866
[773],,[748],26125867
"[444, 96, 461, 512, 661]","[624, 573, 102]",[920],26125868
,,,26125869
"[96, 60, 708, 624, 28]",,,26125870
"[426, 898, 785, 707, 785, 624]",,,26125871
"[694, 473]","[913, 367, 473]","[808, 421, 624]",26125872
"[96, 530]","[473, 938]","[26, 920, 624]",26125873
"[883, 96, 101]","[707, 639]","[808, 624]",26125874
"[883, 102, 358]","[473, 785]",[51],26125875
"[515, 376, 395]",[473],"[26, 808, 624]",26125876
,,,26125877
,,,26125878
,,,26125879
,,,26125880
,,,26125881
,,,26125882
,,,26125883
,,,26125884
,,,26125885
,,,26125886
,,,26125887
,,,26125888
,,,26125889
,,,26125890
,,,26125891
,,,26125892
"[303, 725, 259, 96]",[461],"[472, 627, 692, 193]",26125926
,,,26125927
,,,26125928
,,,26125929
,,,26125930
,,,26125931
,,,26125932
,,,26125933
"[96, 707]","[927, 664, 669]","[920, 376, 193, 624]",26125934
"[646, 562, 178]",[669],"[864, 903, 924, 808]",26125935
"[376, 854]","[527, 189, 26]","[908, 187]",26125936
[455],[692],"[26, 473, 513, 924]",26125937
"[96, 515, 562, 512, 628, 793, 101]","[660, 473, 639]","[26, 33, 42]",26125938
"[800, 765, 896, 652, 473, 30]",,,26125939
"[7, 89, 785, 498, 692]",,,26125940
[96],"[473, 529, 692, 193]","[26, 513, 808, 920, 924]",26125941
"[785, 178, 708]","[7, 808, 924]","[908, 920, 26]",26125942
"[900, 455]","[908, 900, 920, 417]",[7],26125943
"[515, 530, 562]","[664, 927]","[193, 924, 649]",26125944
"[473, 529, 660]","[367, 732, 785, 913]","[89, 433, 498, 472]",26125945
"[800, 785, 692, 649, 920]",,,26125946
"[472, 26, 498, 692, 808]",,,26125947
"[227, 395, 664]","[455, 513, 692]","[26, 713, 924]",26125948
"[461, 777]",,,26125952
"[227, 388, 565, 593]","[473, 527, 913]",[808],26125953
"[96, 593, 102]","[473, 529, 707]","[26, 808, 920]",26125954
"[723, 562, 593]","[395, 473, 927]","[692, 808, 624]",26125955
[562],"[421, 248, 652]","[692, 26, 920]",26125956
"[96, 708]","[646, 802]","[924, 7]",26125957
,,,26125958
,,,26125959
,,,26125960
,,,26125961
,,,26125962
,,,26125963
"[96, 366, 102]","[785, 526, 473, 529]","[808, 461, 26]",26125964
"[395, 12, 562]","[358, 529, 938]","[26, 808]",26125965
"[82, 96, 259, 661, 395]","[966, 180, 927, 461, 529, 473, 785, 913]","[228, 652, 498, 28, 924, 627, 649, 624, 692, 808, 472]",26125966
"[319, 805, 680, 356]",,,26125968
,,,26125969
"[530, 388, 246]",[573],"[193, 692, 624]",26125970
"[12, 96, 515, 660, 259]","[356, 785, 473, 512, 366, 661, 224, 180, 372, 461, 966]","[802, 692, 237, 472, 924, 498, 659, 627, 904, 649, 708, 26, 920, 193, 513, 624]",26125971
,,,26125972
,,,26125973
,,,26125974
"[224, 178, 237, 723, 771]","[661, 555, 473, 785]","[694, 176, 765, 216, 920]",26125975
,,,26125976
,,,26125977
,,,26125978
,,,26125979
,,,26125980
,,,26125981
,,,26125982
,,,26125983
"[224, 515, 96]","[473, 660, 367]","[924, 920]",26125984
,,,26125985
,,,26125986
[96],"[473, 367]","[808, 692, 193]",26125987
"[96, 883, 966, 661]","[455, 529, 372, 461, 473]","[7, 624, 920, 26]",26125988
"[939, 98, 26, 808, 692]",,,26125989
"[96, 398, 924]",,,26125990
,,,26125991
,,,26125992
"[515, 53, 694, 785, 624]",,,26125993
,,,26125994
"[562, 208, 555, 341]",,,26125995
"[184, 229]",[473],"[627, 903, 924, 808]",26125996
,,,26125997
"[96, 732, 515]","[473, 670, 785]","[692, 26, 924]",26125998
[854],"[708, 26]",[808],26125999
,,"[26, 624]",26126000
"[178, 698]","[545, 102, 358, 529, 694]","[808, 193, 624]",26126001
"[927, 530, 529, 725]",,,26126002
,,,26126003
,,,26126004
,,,26126005
,,,26126006
,,,26126007
[96],"[473, 367, 785]","[903, 624]",26126008
