top,heart,base,perfume_id
"[367, 366, 282]","[229, 473, 692, 669]","[692, 808, 924, 649, 513, 191, 26, 624]",26120123
"[515, 96, 785]","[180, 669, 372]","[649, 692, 924]",26120124
[96],"[178, 237, 692, 808, 924]",[649],26120125
,,,26120126
,,,26120127
"[178, 224]","[526, 529, 908]","[193, 808, 920, 624]",26120128
"[883, 515, 82]","[512, 237]","[808, 649]",26120129
"[715, 96, 512, 639]","[802, 966, 473, 259, 237]","[193, 649, 26]",26120130
[102],"[512, 455]","[624, 26, 7]",26120131
"[512, 96, 708]","[900, 372, 433, 193]","[649, 692, 26, 498]",26120132
"[60, 515, 455, 96]","[473, 180, 224, 808, 785, 692]","[513, 26, 649, 191, 624, 924, 228]",26120133
"[96, 552, 229, 512, 60]","[529, 473, 785, 180, 372]","[924, 692, 513, 191, 26, 649, 193]",26120134
,,,26120135
"[515, 96, 512, 883]","[366, 639]","[924, 652]",26120136
,,,26120137
,,,26120138
[227],"[358, 512]","[7, 624]",26120139
"[515, 96, 604]","[512, 924]","[649, 26]",26120140
"[808, 177]",,,26120141
,,,26120142
,,,26120143
"[515, 12, 60, 82, 562, 481]","[290, 372, 473, 237, 347, 224]","[26, 649, 498, 513, 624, 692, 808]",26120144
"[480, 802, 412, 376]","[398, 646, 224, 908, 900]","[808, 193, 624, 692, 26]",26120145
"[96, 259, 237, 723, 480]","[785, 473, 366, 372]","[26, 624]",26120146
,,,26120147
,,,26120148
"[480, 82]",[193],"[624, 292]",26120149
"[886, 96, 282, 903, 920]",,,26120150
,,,26120151
"[96, 515, 82, 229, 512, 372, 44, 715]","[924, 692, 178, 177, 481]","[624, 28, 808, 193, 26, 649, 903, 624, 513]",26120152
,,,26120153
"[562, 530, 96]","[793, 366, 461]","[193, 808, 624, 920]",26120154
"[515, 886, 765, 512]","[785, 224, 180, 421, 473, 527, 529]","[26, 808, 908, 920, 624]",26120155
,,,26120156
"[96, 224]","[237, 481]","[924, 28]",26120157
"[82, 512, 896, 82, 473, 395, 44]",,,26120158
"[96, 292, 512, 639]","[180, 193, 802, 341, 372]","[26, 513, 624, 649, 924]",26120159
"[224, 96, 259, 896]","[692, 808, 292, 193, 433]","[649, 920, 26, 624, 7]",26120160
,"[573, 353]","[924, 649, 26, 624]",26120161
,,,26120162
,,,26120163
"[96, 388]","[526, 437, 376]","[624, 7]",26120164
,,,26120165
"[515, 96, 660]","[473, 472, 237, 178]","[692, 627, 785, 924, 624]",26120166
"[785, 259, 82, 802, 793]","[473, 808, 924, 455]","[498, 692, 28, 627]",26120167
"[388, 60, 883, 376]","[372, 336, 708, 895, 512]","[624, 586, 802, 785]",26120168
"[227, 512]",,"[808, 924]",26120169
"[96, 259, 785]","[545, 802, 646, 604, 708]","[26, 193, 624, 649, 808]",26120170
,,,26120171
"[562, 515, 388, 82, 60, 480]","[372, 246, 193, 473, 180]","[692, 652, 624, 26, 513, 924, 649]",26120172
"[562, 515, 96, 60]","[180, 224, 785, 259, 473, 708, 347, 193]","[920, 26, 692, 652, 924]",26120173
,,,26120174
,,,26120175
,,,26120176
"[84, 237]",,,26120177
,,,26120178
"[96, 515, 883, 82, 896, 372, 512]","[259, 237, 224]","[692, 924, 193, 659]",26120179
,,,26120180
,,,26120181
[515],"[966, 461, 178, 26]","[920, 808, 924, 692, 513]",26120182
,,,26120183
[388],"[927, 372, 290]","[193, 808, 26, 624]",26120184
[227],,[624],26120185
"[388, 96, 562]","[646, 237, 708, 512, 574, 372]","[808, 924, 692, 624]",26120186
[562],,[624],26120187
,,,26120188
"[530, 372]","[102, 723, 480, 900]","[193, 692, 624]",26120189
,,,26120190
"[96, 101]",,"[959, 939, 193, 808]",26120191
,,,26120192
"[886, 512, 96, 793, 259]","[372, 341, 692, 193]","[624, 649, 513, 26]",26120193
"[96, 793, 512]","[646, 924, 692, 808]","[624, 26, 649, 920]",26120195
[96],"[259, 512]","[624, 920, 26]",26120196
"[660, 515, 96, 229, 82]","[372, 259, 224, 341, 180, 924, 193, 692]","[498, 649, 26, 472, 624, 908]",26120197
"[512, 96, 793, 785, 715]","[229, 290, 896, 372, 282, 473, 259, 180]","[193, 692, 649, 624]",26120198
,,,26120199
"[715, 793, 480, 372, 461]","[646, 376, 924]","[692, 808, 624]",26120200
,,,26120201
"[96, 660, 519, 515]","[512, 229, 372, 785]","[649, 692, 808, 924]",26120202
,,,26120203
,,,26120204
"[562, 96, 12]","[237, 178, 646]","[624, 26, 193, 498, 649, 924]",26120205
,,,26120206
"[512, 229, 639, 96, 515, 793]","[372, 180, 193]","[649, 414, 624, 26, 498, 903]",26120207
"[515, 530, 512]",,"[246, 624, 708]",26120208
,,,26120209
[96],"[82, 498]","[692, 26]",26120210
